id,CATEGORY,SENTIMENT,SCORE,REVLEN
140477,0.41,0.32,0.22,0.05
140478,0.41,0.32,0.23,0.04
140479,0.41,0.32,0.24,0.03
140480,0.41,0.32,0.25,0.02
140481,0.41,0.32,0.26,0.01
140482,0.41,0.32,0.27,0.0
140483,0.41,0.33,0.0,0.26
140484,0.41,0.33,0.01,0.25
140485,0.41,0.33,0.02,0.24
140486,0.41,0.33,0.03,0.23
140487,0.41,0.33,0.04,0.22
140488,0.41,0.33,0.05,0.21
140489,0.41,0.33,0.06,0.2
140490,0.41,0.33,0.07,0.19
140491,0.41,0.33,0.08,0.18
140492,0.41,0.33,0.09,0.17
140493,0.41,0.33,0.1,0.16
140494,0.41,0.33,0.11,0.15
140495,0.41,0.33,0.12,0.14
140496,0.41,0.33,0.13,0.13
140497,0.41,0.33,0.14,0.12
140498,0.41,0.33,0.15,0.11
140499,0.41,0.33,0.16,0.1
140500,0.41,0.33,0.17,0.09
140501,0.41,0.33,0.18,0.08
140502,0.41,0.33,0.19,0.07
140503,0.41,0.33,0.2,0.06
140504,0.41,0.33,0.21,0.05
140505,0.41,0.33,0.22,0.04
140506,0.41,0.33,0.23,0.03
140507,0.41,0.33,0.24,0.02
140508,0.41,0.33,0.25,0.01
140509,0.41,0.33,0.26,0.0
140510,0.41,0.34,0.0,0.25
140511,0.41,0.34,0.01,0.24
140512,0.41,0.34,0.02,0.23
140513,0.41,0.34,0.03,0.22
140514,0.41,0.34,0.04,0.21
140515,0.41,0.34,0.05,0.2
140516,0.41,0.34,0.06,0.19
140517,0.41,0.34,0.07,0.18
140518,0.41,0.34,0.08,0.17
140519,0.41,0.34,0.09,0.16
140520,0.41,0.34,0.1,0.15
140521,0.41,0.34,0.11,0.14
140522,0.41,0.34,0.12,0.13
140523,0.41,0.34,0.13,0.12
140524,0.41,0.34,0.14,0.11
140525,0.41,0.34,0.15,0.1
140526,0.41,0.34,0.16,0.09
140527,0.41,0.34,0.17,0.08
140528,0.41,0.34,0.18,0.07
140529,0.41,0.34,0.19,0.06
140530,0.41,0.34,0.2,0.05
140531,0.41,0.34,0.21,0.04
140532,0.41,0.34,0.22,0.03
140533,0.41,0.34,0.23,0.02
140534,0.41,0.34,0.24,0.01
140535,0.41,0.34,0.25,0.0
140536,0.41,0.35,0.0,0.24
140537,0.41,0.35,0.01,0.23
140538,0.41,0.35,0.02,0.22
140539,0.41,0.35,0.03,0.21
140540,0.41,0.35,0.04,0.2
