id,CATEGORY,SENTIMENT,SCORE,ENTROPY
160690,0.56,0.01,0.09,0.34
160691,0.56,0.01,0.1,0.33
160692,0.56,0.01,0.11,0.32
160693,0.56,0.01,0.12,0.31
160694,0.56,0.01,0.13,0.3
160695,0.56,0.01,0.14,0.29
160696,0.56,0.01,0.15,0.28
160697,0.56,0.01,0.16,0.27
160698,0.56,0.01,0.17,0.26
160699,0.56,0.01,0.18,0.25
160700,0.56,0.01,0.19,0.24
160701,0.56,0.01,0.2,0.23
160702,0.56,0.01,0.21,0.22
160703,0.56,0.01,0.22,0.21
160704,0.56,0.01,0.23,0.2
160705,0.56,0.01,0.24,0.19
160706,0.56,0.01,0.25,0.18
160707,0.56,0.01,0.26,0.17
160708,0.56,0.01,0.27,0.16
160709,0.56,0.01,0.28,0.15
160710,0.56,0.01,0.29,0.14
160711,0.56,0.01,0.3,0.13
160712,0.56,0.01,0.31,0.12
160713,0.56,0.01,0.32,0.11
160714,0.56,0.01,0.33,0.1
160715,0.56,0.01,0.34,0.09
160716,0.56,0.01,0.35,0.08
160717,0.56,0.01,0.36,0.07
160718,0.56,0.01,0.37,0.06
160719,0.56,0.01,0.38,0.05
160720,0.56,0.01,0.39,0.04
160721,0.56,0.01,0.4,0.03
160722,0.56,0.01,0.41,0.02
160723,0.56,0.01,0.42,0.01
160724,0.56,0.01,0.43,0.0
160725,0.56,0.02,0.0,0.42
160726,0.56,0.02,0.01,0.41
160727,0.56,0.02,0.02,0.4
160728,0.56,0.02,0.03,0.39
